CTYNAME,year,drugOverdose,population,drugOverdoseRate,GrowthRate,Naloxone,NaloxoneRate,suicides,suicideRate
Washington,2019,110,59511,1.8483977752012235,-3.5681,55.0,0.9241988876006116,11.0,0.18483977752012232
Wayne,2019,344,115550,2.9770662051060146,1.0105,215.0,1.8606663781912591,24.0,0.2077022933794894
Williams,2019,96,36598,2.6230941581507183,-2.4366,49.0,1.338870976556096,0.0,0.0
Wood,2019,237,131569,1.8013361810152848,4.4613,230.0,1.7481321587912046,11.0,0.08360632063784022
Wyandot,2019,47,21480,2.1880819366852884,-4.9053,35.0,1.6294227188081938,0.0,0.0
Adams,2020,87,27706,3.14011405471739,-2.912,159.0,5.738829134483505,0.0,0.0
Allen,2020,366,101603,3.602255838902394,-4.4707,122.0,1.2007519463007983,11.0,0.10826451974843262
Ashland,2020,94,53040,1.7722473604826543,-0.527,70.0,1.3197586726998491,0.0,0.0
Ashtabula,2020,427,96549,4.422624781199184,-4.7868,595.0,6.162673875441485,17.0,0.1760763964411853
Athens,2020,171,64943,2.633078237839336,-0.3529,125.0,1.9247647937422048,11.0,0.16937930184931402
Auglaize,2020,92,45496,2.0221557939159487,-0.8759,43.0,0.945138034112889,0.0,0.0
Belmont,2020,66,65952,1.0007278020378458,-6.2289,208.0,3.153808830664726,11.0,0.16678796700630763
Brown,2020,152,43156,3.5221058485494487,-3.8049,162.0,3.7538233385855966,0.0,0.0
Butler,2020,1486,385402,3.8557142931276953,4.4161,1577.0,4.091831386448436,60.0,0.155681599991697
Carroll,2020,39,26578,1.467379035292347,-7.8624,12.0,0.4515012416284145,0.0,0.0
Champaign,2020,121,39085,3.095816809517718,-2.4777,98.0,2.507355763080466,10.0,0.2558526288857618
Clark,2020,613,133193,4.602343967025294,-3.6746,898.0,6.742096056099045,27.0,0.20271335580698685
Clermont,2020,622,208232,2.987052902531792,5.3784,453.0,2.1754581428406774,44.0,0.2113027776710592
Clinton,2020,154,41734,3.690036900369003,-0.4485,132.0,3.16288877174486,0.0,0.0
Columbiana,2020,417,100703,4.140889546488188,-6.6614,148.0,1.4696682323267432,24.0,0.23832457821514752
Coshocton,2020,112,36608,3.05944055944056,-0.8934,90.0,2.458479020979021,10.0,0.2731643356643357
Crawford,2020,109,41514,2.625620272679096,-5.1195,21.0,0.5058534470299176,15.0,0.36132389073565546
Cuyahoga,2020,4213,1221780,3.44824763869109,-4.4058,5091.0,4.166871286156264,197.0,0.16124015780255038
Darke,2020,128,50741,2.5226148479533315,-4.1954,169.0,3.3306399164383835,0.0,0.0
Defiance,2020,94,38083,2.4682929391066883,-2.5562,56.0,1.4704723892550482,0.0,0.0
Delaware,2020,327,217349,1.5044927742938776,24.1292,255.0,1.1732283102291703,28.0,0.12882506935849716
Erie,2020,327,73772,4.432576045111967,-4.1648,405.0,5.489887762294638,14.0,0.189773897955864
Fairfield,2020,447,160758,2.7805770163848766,9.7946,288.0,1.7915127085432765,24.0,0.1492927257119397
Fayette,2020,163,28269,5.766033464218756,-2.5677,236.0,8.34836746966642,0.0,0.0
Franklin,2020,4564,1334870,3.419059533887195,14.4632,6239.0,4.673863372463236,164.0,0.12285840568744522
Fulton,2020,95,41844,2.270337443839021,-1.8415,110.0,2.6288117770767614,0.0,0.0
Gallia,2020,112,29804,3.7578848476714537,-4.0808,71.0,2.382230573077439,12.0,0.40263051939337
Geauga,2020,126,93057,1.354008833295722,-0.3555,116.0,1.2465478147801885,12.0,0.1289532222186402
Greene,2020,500,171919,2.9083463724195693,6.3934,475.0,2.7629290537985915,19.0,0.11051716215194364
Guernsey,2020,200,38603,5.18094448617983,-3.865,140.0,3.6266611403258815,0.0,0.0
Hamilton,2020,2912,821529,3.5446101111464112,2.3995,3867.0,4.707076682624716,120.0,0.14606909798680265
Hancock,2020,212,75509,2.80761233760214,1.0979,183.0,2.423552159345244,14.0,0.18540836191712246
Hardin,2020,106,31259,3.3910233852650435,-2.7018,75.0,2.399308999008285,0.0,0.0
Harrison,2020,29,14786,1.96131475720276,-6.5656,16.0,1.0821046936291083,0.0,0.0
Henry,2020,30,26836,1.117901326576241,-4.7389,52.0,1.9376956327321508,0.0,0.0
Highland,2020,148,43379,3.4117891145485144,-0.5548,160.0,3.688420664376773,0.0,0.0
Hocking,2020,109,28078,3.882042880547048,-4.7493,65.0,2.31497969940879,0.0,0.0
Holmes,2020,36,44042,0.8174015712274647,3.6941,13.0,0.2951727896099178,0.0,0.0
Huron,2020,229,58070,3.94351644566902,-2.5017,354.0,6.0960909247459965,16.0,0.2755295333218529
Jackson,2020,166,32507,5.106592426246655,-2.2287,99.0,3.045497892761559,12.0,0.3691512597286738
Jefferson,2020,289,64427,4.485696990392227,-7.5255,217.0,3.3681531035125025,16.0,0.24834308597327207
Knox,2020,144,63166,2.279707437545515,3.3983,142.0,2.248044834246272,12.0,0.18997561979545957
Lake,2020,677,230243,2.9403716942534626,0.0996,1071.0,4.651607214985906,47.0,0.20413215602645898
